fips,mtfcc,lane_miles
8109,S1200,492.44035908518833
8109,S1400,5588.8733825774
8111,S1200,80.95862335155728
8111,S1400,648.333491418382
8113,S1200,201.9570434145985
8113,S1400,3925.8487145479266
8115,S1100,212.27150157882122
8115,S1200,207.4556051069734
8115,S1400,1551.4319305410108
8117,S1100,341.72211564068436
8117,S1200,188.73808078774974
8117,S1400,2449.9067313928913
8119,S1200,140.33714187799842
8119,S1400,3255.692484054843
8121,S1100,85.05118316414706
8121,S1200,590.6027443122465
8121,S1400,5314.30469219722
8123,S1100,1036.1002739450742
8123,S1200,1630.9820506194296
8123,S1400,11799.320672747703
8125,S1200,546.2251247017803
8125,S1400,5873.448064018843
10001,S1100,271.81493150078495
10001,S1200,1326.0241692030036
10001,S1400,4942.31252322676
10003,S1100,976.8447131860662
10003,S1200,2034.0426899205515
10003,S1400,5425.452968085392
10005,S1200,2822.001475877226
10005,S1400,9697.232394935134
11001,S1100,336.1171965245965
11001,S1200,157.04006840899103
11001,S1400,2314.8910111030496
12001,S1100,282.4483041577008
12001,S1200,2057.9509114806074
12001,S1400,8933.430758438057
12003,S1100,405.5482283792027
12003,S1200,195.8746833110561
12003,S1400,2591.700424228688
12005,S1200,1462.7612267655124
12005,S1400,5667.047238959961
12007,S1200,413.49843162247595
12007,S1400,1669.1108230176073
12009,S1100,896.7133453165834
12009,S1200,1668.673414436594
12009,S1400,8670.22735122594
12011,S1100,2315.1657775377184
12011,S1200,3053.837272086547
12011,S1400,12569.361793572514
12013,S1200,243.84057603409263
12013,S1400,2595.0159083204144
12015,S1100,351.3585996878271
12015,S1200,631.2796972552954
12015,S1400,5756.556291987446
12017,S1100,194.8170761288041
12017,S1200,903.7195835264068
12017,S1400,6604.233277337254
12019,S1100,57.80930521209664
12019,S1200,551.4004681221676
12019,S1400,5320.396166097178
12021,S1100,1836.4917760653057
12021,S1200,793.9147118471307
12021,S1400,7476.1912525794405
12023,S1100,815.8827306556736
12023,S1200,742.4275297163147
12023,S1400,5586.780259633382
12027,S1100,3.4038569183682807
12027,S1200,374.30980810527444
12027,S1400,2252.11118526781
12029,S1200,490.9691896155846
12029,S1400,4559.727052830845
12031,S1100,2139.3529560828724
12031,S1200,2054.707283286303
12031,S1400,9291.130693896854
12033,S1100,361.1301034859822
12033,S1200,1699.1007481523393
12033,S1400,5483.407010839792
12035,S1100,298.6985242144016
12035,S1200,437.43745568786323
12035,S1400,2503.9255884509525
12037,S1200,484.69673720098433
12037,S1400,2798.3557141200768
12039,S1100,528.6496216611174
12039,S1200,865.7527840083877
12039,S1400,2786.967235894717
12041,S1200,278.5091719527187
12041,S1400,1895.5229138435377
12043,S1200,389.6252414752327
12043,S1400,2278.0085809470315
12045,S1200,270.2738324609204
12045,S1400,3134.4658021569426
12047,S1100,459.71527733065443
12047,S1200,288.4021082164106
12047,S1400,2160.341299179906
12049,S1200,412.4651516934618
12049,S1400,1666.8214112724327
12051,S1200,342.6029091692698
12051,S1400,4595.390925332506
12053,S1100,481.3616977571015
