FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA75 - SHASTA COUNTY,CA4500120,CAMP SHASTA COFFEE COMPANY,SHASTA,"SHASTA, California",NP,Non-Public,NP,Non-Public,A,Active,P,Private,GW,Groundwater,NULL,5,NULL,5,0,NULL,1,0,0,1,NULL,,12/8/2022,LAKEHEAD,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900505,CAMP SHELLY,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,200,200,NULL,NULL,15,NULL,NULL,15,N1,Transient Non-Community Water System,6/29/2022,SOUTH LAKE TAHOE,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 23 - FRESNO,CA1000010,CAMP SIERRA,FRESNO,"FRESNO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,NULL,250,250,0,NULL,0,0,92,92,N1,Transient Non-Community Water System,7/13/2022,BIG CREEK,T2,Treatment Operator Level 2,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500026,CAMP SILVER SPUR,TUOLUMNE,"TUOLUMNE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,10,30,40,0,NULL,35,0,13,48,N1,Transient Non-Community Water System,8/23/2023,TUOLUMNE,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600532,CAMP SKY MEADOWS,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,2,150,152,0,NULL,0,0,5,5,N1,Transient Non-Community Water System,8/7/2024,ANGELUS OAKS,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA74 - SANTA CRUZ COUNTY,CA4400710,CAMP ST FRANCIS,SANTA CRUZ,"SANTA CRUZ, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,5,50,57,0,NULL,15,0,1,16,NULL,,6/6/2018,APTOS,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1502249,CAMP ST NICHOLAS WATER SYSTEM,KERN,"KERN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,10,200,212,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,9/23/2019,FRAZIER PARK,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3700906,CAMP STEVENS,SAN DIEGO,"SAN DIEGO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,28,NULL,50,78,3,NULL,4,0,17,24,SC,Small Community,7/2/2024,JULIAN,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000560,CAMP SUGAR PINE,MADERA,"MADERA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,15,NULL,243,258,0,NULL,37,0,3,40,N1,Transient Non-Community Water System,3/27/2024,OAKHURST,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600767,CAMP TAHQUITZ,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,275,275,NULL,NULL,1,NULL,5,6,N1,Transient Non-Community Water System,11/8/2023,BARTON FLATS,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA2100568,CAMP TAMARANCHO,MARIN,"MARIN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,NULL,100,101,0,NULL,1,0,2,3,N1,Transient Non-Community Water System,5/24/2019,FAIRFAX,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500141,CAMP TAWONGA,TUOLUMNE,"TUOLUMNE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,5,NULL,500,505,0,NULL,21,0,0,21,N1,Transient Non-Community Water System,8/24/2022,GROVELAND,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1502044,CAMP TECUYA WATER SYSTEM,KERN,"KERN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,180,180,0,NULL,3,0,0,3,N1,Transient Non-Community Water System,9/23/2019,FRAZIER PARK,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA62 - PLUMAS COUNTY,CA3200097,CAMP TIMBERWOLF,PLUMAS,"PLUMAS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,90,90,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,6/1/2021,BUCKS LAKE,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500368,CAMP TUOLUMNE TRAILS,TUOLUMNE,"TUOLUMNE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,5,30,36,0,NULL,4,0,0,4,N1,Transient Non-Community Water System,6/9/2023,GROVELAND.,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 22 - ANGELES,CA1900594,CAMP VERDUGO OAKS BOYSCOUTS,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,1500,1500,0,NULL,6,0,1,7,N1,Transient Non-Community Water System,4/10/2024,CASTAIC,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600064,CAMP WATERMAN MWC,SAN BERNARDINO,"SAN BERNARDINO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,55,NULL,NULL,55,0,NULL,0,0,60,60,SC,Small Community,4/25/2024,SAN BERNARDINO,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 11 - MERCED,CA2203051,CAMP WAWONA,MARIPOSA,"MARIPOSA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,NULL,220,222,0,NULL,0,0,33,33,N1,Transient Non-Community Water System,10/8/2018,WAWONA,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5401049,CAMP WILDERNESS,TULARE,"TULARE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,40,40,0,NULL,2,0,1,3,N1,Transient Non-Community Water System,8/30/2019,SPRINGVILLE,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900529,CAMP WILLIAMS-RESORT WATER,LOS ANGELES,"LOS ANGELES, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,80,NULL,NULL,80,0,NULL,2,0,67,69,SC,Small Community,5/9/2024,AZUSA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3702319,CAMP WINACKA,SAN DIEGO,"SAN DIEGO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,250,250,0,NULL,16,0,2,18,N1,Transient Non-Community Water System,1/5/2018,JULIAN,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA61 - PLACER COUNTY,CA3104449,CAMP WINTHERS,PLACER,"PLACER, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,100,100,0,NULL,4,0,0,4,N1,Transient Non-Community Water System,8/4/2023,SODA SPRINGS,T2,Treatment Operator Level 2,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 10 - STOCKTON,CA0300022,CAMP WINTON,AMADOR,"AMADOR, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,300,300,0,NULL,18,0,0,18,N1,Transient Non-Community Water System,7/22/2021,PIONEER,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA35 - CALAVERAS COUNTY,CA0500055,CAMP WOLFEBORO,CALAVERAS,"CALAVERAS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,250,250,0,NULL,0,0,8,8,N1,Transient Non-Community Water System,6/18/2021,ARNOLD,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 04 - SAN FRANCISCO,CA4800727,CAMPBELL SOUP DIXON,SOLANO,"SOLANO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,161,186,0,NULL,0,1,0,1,SP,Non-Transient Non-Community Water System,3/30/2022,DIXON,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA87 - YOLO COUNTY,CA5700554,CAMPERS INN - RV & GOLF COURSE,YOLO,"YOLO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,95,20,25,140,0,NULL,0,0,69,69,SC,Small Community,12/9/2022,DUNNIGAN,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2701046,CAMPHORA APARTMENTS,MONTEREY,"MONTEREY, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,126,NULL,NULL,126,0,NULL,0,0,42,42,SC,Small Community,8/10/2023,SOLEDAD,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2701579,CAMPHORA STATION WS,MONTEREY,"MONTEREY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,0,2,0,2,SP,Non-Transient Non-Community Water System,8/17/2023,SOLEDAD,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2702642,CAMPHORA-GLORIA RD WS #01,MONTEREY,"MONTEREY, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,1/17/2024,SOLEDAD,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3700018,CAMPO ELEMENTARY SCHOOL,SAN DIEGO,"SAN DIEGO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,300,NULL,300,0,NULL,3,0,0,3,SP,Non-Transient Non-Community Water System,9/10/2018,CAMPO,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3705060,CAMPO GROUP LLC,SAN DIEGO,"SAN DIEGO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,3,0,0,3,N1,Transient Non-Community Water System,8/29/2018,CAMPO,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,SAN DIEGO,"SAN DIEGO, California",C,Community,C,Community,A,Active,L,Local,GU,Groundwater UDI Surface Water,500,NULL,NULL,500,0,NULL,1,0,221,222,SC,Small Community,9/18/2018,CAMPO,T3,Treatment Operator Level 3,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901063,CAMPOBELLO,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,20,25,45,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,11/3/2020,SANTA ROSA,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1000580,CAMPOS BROS. FARMS,FRESNO,"FRESNO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,350,170,520,0,NULL,10,0,0,10,SP,Non-Transient Non-Community Water System,3/17/2020,CARUTHERS,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3303058,CAMPOS WONG,RIVERSIDE,"RIVERSIDE, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,20,NULL,20,0,NULL,0,0,7,7,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900089,CAMPS MUNZ AND MENDENHALL,LOS ANGELES,"LOS ANGELES, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,125,NULL,125,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,4/11/2023,LAKE HUGHES,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA88 - YUBA COUNTY,CA5800924,CAMPTONVILLE COMMUNITY SERV DIST,YUBA,"YUBA, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,180,NULL,NULL,180,0,NULL,11,0,74,85,SC,Small Community,6/7/2024,CAMPTONVILLE,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 06 - SANTA BARBARA,CA5610063,CAMROSA WATER DISTRICT,VENTURA,"VENTURA, California",C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,32700,NULL,NULL,32700,77,NULL,258,217,8503,9055,C1,Large Water System,1/18/2023,CAMARILLO,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 05 - MONTEREY,CA2702588,CANADA WOODS WC,MONTEREY,"MONTEREY, California",C,Community,C,Community,A,Active,P,Private,GU,Groundwater UDI Surface Water,356,NULL,NULL,356,0,NULL,15,0,168,183,SC,Small Community,8/9/2022,CARMEL,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,EL DORADO,"EL DORADO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,75,NULL,NULL,75,NULL,NULL,NULL,NULL,32,32,NULL,,1/16/2024,SOMERSET,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA64 - SACRAMENTO COUNTY,CA3400418,CANNERY LANDING,SACRAMENTO,"SACRAMENTO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,7,20,33,60,0,NULL,0,0,41,41,N1,Transient Non-Community Water System,6/4/2021,SACRAMENTO,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4910022,CANON MANOR WATER SYSTEM,SONOMA,"SONOMA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,805,NULL,NULL,805,0,NULL,0,0,245,245,SC,Small Community,9/7/2017,PENNGROVE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000594,CANTINA WATER SYSTEM,MADERA,"MADERA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,0,NULL,2,0,1,3,N1,Transient Non-Community Water System,5/17/2021,COARSEGOLD,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 23 - FRESNO,CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",FRESNO,"FRESNO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,52,NULL,NULL,52,0,NULL,3,0,13,16,SC,Small Community,10/19/2019,CANTUA CREEK,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA75 - SHASTA COUNTY,CA4500093,CANYON CREEK MHP,SHASTA,"SHASTA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,35,NULL,NULL,35,0,NULL,0,0,24,24,SC,Small Community,6/20/2023,ANDERSON,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 09 - SACRAMENTO,CA5700608,CANYON CREEK RESORT,YOLO,"YOLO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,12,200,212,0,NULL,90,0,0,90,N1,Transient Non-Community Water System,3/15/2024,WINTERS,T3,Treatment Operator Level 3,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900162,CANYON CREEK SPORTS COMPLEX,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,177,177,0,NULL,5,0,6,11,N1,Transient Non-Community Water System,6/5/2024,LAKE HUGHES,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000230,CANYON CREST MUTUAL BENEFIT WC,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,133,NULL,NULL,133,0,NULL,0,0,54,54,SC,Small Community,4/24/2024,ARROYO GRANDE,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA62 - PLUMAS COUNTY,CA3200088,CANYON DAM MOBILE HOME ESTATES,PLUMAS,"PLUMAS, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,14,14,0,NULL,0,0,8,8,DD,Dead and Done (Not Active),NULL,CANYON DAM,NULL,,NULL,
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 23 - FRESNO,CA1000600,CANYON FEED & SUPPLY,FRESNO,"FRESNO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,15,10,25,0,NULL,4,0,0,4,N1,Transient Non-Community Water System,3/6/2020,PRATHER,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1500443,CANYON MEADOWS MUTUAL WATER,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,465,NULL,NULL,465,0,NULL,0,0,141,141,DAVCS,Disadvantaged Small Community Water System,2/28/2024,BODFISH,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 08 - SANTA ANA,CA3000759,CANYON RV PARK,ORANGE,"ORANGE, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,260,NULL,260,0,NULL,14,0,152,166,SP,Non-Transient Non-Community Water System,11/30/2022,ANAHEIM,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA37 - CONTRA COSTA COUNTY,CA0707620,CANYON SCHOOL,CONTRA COSTA,"CONTRA COSTA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,238,NULL,238,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,6/17/2021,CANYON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA37 - CONTRA COSTA COUNTY,CA0707528,CANYON WATER BROTHERS, ,,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,20,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 21 - VALLEY,CA1100527,CAPAY JOINT UNION ELEM. SCHOOL,GLENN,"GLENN, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,230,NULL,230,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,9/14/2021,ORLAND,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA87 - YOLO COUNTY,CA5700737,CAPAY OPEN SPACE PARK,YOLO,"YOLO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,1,25,27,0,NULL,1,0,1,2,NULL,,2/2/2024,ESPARTO,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800543,CAPELL VALLEY ESTATES,NAPA,"NAPA, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,208,NULL,NULL,208,0,NULL,2,0,61,63,NULL,,6/13/2024,NAPA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4901257,CAPITAL LUMBER COMPANY,SONOMA,"SONOMA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,50,NULL,50,0,NULL,1,1,0,2,SP,Non-Transient Non-Community Water System,10/4/2017,HEALDSBURG,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA32 - ALPINE COUNTY,CA0202546,CAPLES LAKE CG,ALPINE,"ALPINE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,35,35,NULL,NULL,8,NULL,NULL,8,N1,Transient Non-Community Water System,10/4/2021,PLACERVILLE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA32 - ALPINE COUNTY,CA0202506,CAPLES LAKE RESORT,ALPINE,"ALPINE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,11,0,0,11,N1,Transient Non-Community Water System,5/26/2021,KIRKWOOD,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2702322,CAPTAIN COOPER SCHOOL WS,MONTEREY,"MONTEREY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GU,Groundwater UDI Surface Water,NULL,95,NULL,95,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,9/12/2023,BIG SUR,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2702296,CAPURRO & SON  WS,MONTEREY,"MONTEREY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,65,NULL,65,1,NULL,0,0,0,1,SP,Non-Transient Non-Community Water System,4/7/2023,MOSS LANDING,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 13 - SAN BERNARDINO,CA1400067,CARDINAL VILLAGE RESORT,INYO,"INYO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,55,55,0,NULL,3,0,11,14,N1,Transient Non-Community Water System,10/26/2022,BISHOP,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2801028,CARDINALE ESTATE,NAPA,"NAPA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,48,40,88,0,NULL,0,1,0,1,SP,Non-Transient Non-Community Water System,4/26/2023,OAKVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
